User ID,Age,Gender,Height,Looking For,Children,Education Level,Occupation,Frequency of Usage
1,30,Male,5.2,Casual Dating,No,High School,Engineer/Student,Weekly
2,27,Female,4.9,Casual Dating,Yes,Master's Degree,Artist,Monthly
3,29,Female,5.8,Casual Dating,No,Bachelor's Degree,Social Media Influencer,Daily
4,29,Female,5.1,Marriage,No,Ph.D.,Doctor,Daily
5,32,Male,6.0,Marriage,Yes,Ph.D.,Engineer/Student,Monthly
6,25,Female,5.2,Marriage,Yes,Master's Degree,Engineer/Student,Monthly
7,27,Female,5.7,Marriage,No,Master's Degree,Engineer/Student,Monthly
8,21,Male,5.1,Marriage,Yes,Bachelor's Degree,Teacher,Daily
9,33,Female,5.4,Casual Dating,Maybe,High School,Social Media Influencer,Monthly
10,26,Female,6.0,Marriage,No,Ph.D.,Teacher,Weekly
11,27,Female,4.9,Casual Dating,Maybe,Master's Degree,Teacher,Weekly
12,20,Female,5.8,Casual Dating,Yes,Ph.D.,Business Owner,Monthly
13,33,Female,5.6,Casual Dating,Yes,Bachelor's Degree,Teacher,Weekly
14,25,Female,5.4,Casual Dating,Yes,High School,Entrepreneur,Monthly
15,20,Male,5.5,Casual Dating,No,Bachelor's Degree,Engineer/Student,Monthly
16,30,Female,5.9,Marriage,Maybe,Bachelor's Degree,Artist,Monthly
17,27,Male,6.0,Casual Dating,Yes,Bachelor's Degree,Engineer/Student,Weekly
18,29,Male,5.6,Marriage,No,Master's Degree,Doctor,Daily
19,31,Male,5.2,Marriage,Yes,Master's Degree,Business Owner,Daily
20,24,Female,5.2,Casual Dating,Yes,Ph.D.,Entrepreneur,Daily
21,31,Male,5.3,Casual Dating,Maybe,Bachelor's Degree,Engineer/Student,Weekly
22,27,Female,5.4,Casual Dating,Maybe,Master's Degree,Doctor,Weekly
23,22,Male,5.4,Casual Dating,No,Bachelor's Degree,Artist,Daily
24,31,Female,5.3,Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,Daily
25,24,Female,6.0,Casual Dating,No,Master's Degree,Entrepreneur,Monthly
26,29,Female,5.6,Casual Dating,Maybe,High School,Business Owner,Monthly
27,32,Male,5.4,Casual Dating,Maybe,Master's Degree,Engineer/Student,Monthly
28,20,Female,5.8,Marriage,Maybe,High School,Doctor,Daily
29,19,Female,5.7,Marriage,Yes,Ph.D.,Artist,Weekly
30,32,Male,6.1,Casual Dating,Yes,Bachelor's Degree,Entrepreneur,Monthly
31,18,Female,5.3,Marriage,Maybe,Ph.D.,Artist,Weekly
32,30,Male,4.9,Casual Dating,Yes,Ph.D.,Engineer/Student,Weekly
33,20,Female,5.7,Casual Dating,No,Master's Degree,Teacher,Monthly
34,21,Male,5.1,Casual Dating,Yes,Ph.D.,Entrepreneur,Weekly
35,25,Male,5.7,Marriage,No,Ph.D.,Engineer/Student,Weekly
36,19,Male,5.4,Casual Dating,No,Ph.D.,Business Owner,Daily
37,24,Male,4.9,Casual Dating,Yes,Master's Degree,Teacher,Monthly
38,26,Female,6.0,Marriage,No,Bachelor's Degree,Entrepreneur,Weekly
39,24,Female,5.7,Casual Dating,Yes,Ph.D.,Entrepreneur,Weekly
40,19,Male,5.9,Casual Dating,Maybe,High School,Social Media Influencer,Daily
41,24,Female,5.2,Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,Monthly
42,35,Male,5.9,Marriage,Yes,Bachelor's Degree,Artist,Monthly
43,31,Female,5.2,Casual Dating,Yes,High School,Artist,Weekly
44,34,Male,6.0,Marriage,No,Master's Degree,Doctor,Daily
45,23,Male,6.0,Casual Dating,Yes,High School,Engineer/Student,Weekly
46,20,Female,5.6,Marriage,No,Bachelor's Degree,Teacher,Daily
47,33,Female,5.3,Marriage,Maybe,High School,Engineer/Student,Daily
48,30,Male,5.3,Casual Dating,No,High School,Artist,Weekly
49,30,Male,5.4,Casual Dating,No,High School,Engineer/Student,Daily
50,26,Female,6.0,Marriage,Yes,Bachelor's Degree,Doctor,Weekly
51,33,Male,5.4,Marriage,Yes,Bachelor's Degree,Entrepreneur,Monthly
52,35,Male,5.6,Marriage,No,High School,Doctor,Monthly
53,18,Male,6.1,Casual Dating,Maybe,Ph.D.,Teacher,Monthly
54,27,Male,5.6,Marriage,No,Master's Degree,Engineer/Student,Monthly
55,28,Female,4.9,Marriage,Yes,High School,Artist,Daily
56,18,Female,5.2,Casual Dating,Maybe,Master's Degree,Doctor,Daily
57,28,Female,5.3,Casual Dating,No,High School,Entrepreneur,Daily
58,33,Female,5.7,Casual Dating,Yes,Ph.D.,Doctor,Daily
59,34,Female,5.3,Casual Dating,Yes,Ph.D.,Artist,Monthly
60,35,Male,6.0,Marriage,Maybe,High School,Entrepreneur,Monthly
61,34,Male,5.5,Casual Dating,Maybe,Master's Degree,Business Owner,Weekly
62,30,Female,5.1,Casual Dating,Maybe,High School,Doctor,Daily
63,21,Male,4.8,Marriage,No,Ph.D.,Engineer/Student,Weekly
64,25,Female,5.5,Casual Dating,No,Ph.D.,Business Owner,Monthly
65,29,Female,5.5,Marriage,Maybe,Ph.D.,Entrepreneur,Monthly
66,32,Female,6.1,Marriage,Maybe,Bachelor's Degree,Doctor,Daily
67,33,Male,5.8,Marriage,Yes,Bachelor's Degree,Engineer/Student,Daily
68,34,Female,5.9,Marriage,No,Master's Degree,Doctor,Weekly
69,31,Female,5.7,Casual Dating,Maybe,Bachelor's Degree,Engineer/Student,Monthly
70,22,Female,5.0,Marriage,No,High School,Entrepreneur,Daily
71,30,Male,6.0,Casual Dating,Yes,Ph.D.,Entrepreneur,Weekly
72,27,Male,5.0,Casual Dating,Maybe,Master's Degree,Business Owner,Weekly
73,25,Female,6.0,Marriage,Maybe,Bachelor's Degree,Business Owner,Weekly
74,31,Male,4.9,Casual Dating,No,Master's Degree,Engineer/Student,Daily
75,28,Male,6.0,Marriage,No,Bachelor's Degree,Entrepreneur,Daily
76,32,Female,4.8,Casual Dating,Maybe,Master's Degree,Business Owner,Weekly
77,35,Male,5.6,Marriage,Yes,High School,Doctor,Weekly
78,25,Female,5.3,Casual Dating,Maybe,Ph.D.,Doctor,Daily
79,23,Male,5.3,Marriage,Maybe,Master's Degree,Engineer/Student,Daily
80,31,Male,5.6,Marriage,Maybe,Bachelor's Degree,Entrepreneur,Monthly
81,20,Female,5.3,Casual Dating,Yes,Ph.D.,Teacher,Weekly
82,34,Male,5.2,Marriage,Yes,Master's Degree,Entrepreneur,Monthly
83,23,Male,5.8,Marriage,No,Ph.D.,Entrepreneur,Weekly
84,18,Female,5.1,Marriage,No,Bachelor's Degree,Engineer/Student,Daily
85,25,Female,5.3,Marriage,Yes,Bachelor's Degree,Engineer/Student,Monthly
86,25,Male,5.9,Marriage,No,Bachelor's Degree,Business Owner,Monthly
87,25,Male,5.3,Casual Dating,Maybe,Ph.D.,Teacher,Weekly
88,24,Male,5.4,Casual Dating,Yes,Master's Degree,Artist,Daily
89,23,Male,5.1,Marriage,Yes,High School,Engineer/Student,Weekly
90,25,Female,5.4,Marriage,No,Ph.D.,Engineer/Student,Weekly
91,24,Female,6.0,Casual Dating,Yes,High School,Engineer/Student,Weekly
92,22,Male,5.1,Marriage,Maybe,Ph.D.,Engineer/Student,Weekly
93,34,Female,5.1,Marriage,No,Bachelor's Degree,Engineer/Student,Daily
94,24,Female,4.8,Casual Dating,Maybe,Ph.D.,Engineer/Student,Weekly
95,31,Male,5.6,Marriage,Maybe,Bachelor's Degree,Engineer/Student,Daily
96,32,Male,6.0,Marriage,Yes,High School,Social Media Influencer,Weekly
97,29,Male,5.1,Casual Dating,No,Master's Degree,Artist,Daily
98,21,Male,5.9,Marriage,Maybe,Ph.D.,Engineer/Student,Daily
99,33,Female,5.8,Casual Dating,No,Bachelor's Degree,Entrepreneur,Monthly
100,21,Female,5.7,Marriage,Yes,Ph.D.,Teacher,Weekly
101,35,Male,5.1,Marriage,No,Master's Degree,Social Media Influencer,Monthly
102,32,Male,4.9,Casual Dating,Maybe,Master's Degree,Entrepreneur,Daily
103,21,Female,5.6,Casual Dating,No,High School,Artist,Monthly
104,31,Male,6.0,Casual Dating,Yes,High School,Teacher,Daily
105,27,Male,4.9,Casual Dating,No,Master's Degree,Business Owner,Daily
106,22,Female,5.5,Marriage,No,Ph.D.,Social Media Influencer,Monthly
107,29,Male,5.8,Casual Dating,Maybe,High School,Entrepreneur,Monthly
108,24,Male,5.4,Casual Dating,Maybe,High School,Artist,Monthly
109,19,Male,4.8,Marriage,No,High School,Engineer/Student,Daily
110,22,Female,5.2,Casual Dating,Yes,Master's Degree,Engineer/Student,Weekly
111,22,Female,5.5,Marriage,No,High School,Engineer/Student,Daily
112,19,Female,5.4,Marriage,Maybe,Bachelor's Degree,Social Media Influencer,Monthly
113,25,Male,5.9,Marriage,No,Ph.D.,Social Media Influencer,Daily
114,30,Female,5.8,Casual Dating,No,Ph.D.,Doctor,Weekly
115,25,Male,5.7,Marriage,Maybe,Ph.D.,Engineer/Student,Weekly
116,28,Female,5.0,Marriage,Yes,Bachelor's Degree,Doctor,Daily
117,23,Female,5.8,Casual Dating,No,Master's Degree,Social Media Influencer,Monthly
118,22,Female,5.4,Marriage,Maybe,Master's Degree,Entrepreneur,Weekly
119,32,Male,5.7,Marriage,Yes,Master's Degree,Social Media Influencer,Weekly
120,24,Male,5.4,Marriage,Yes,High School,Doctor,Daily
121,22,Female,5.3,Casual Dating,No,Bachelor's Degree,Entrepreneur,Daily
122,26,Male,5.7,Marriage,No,Ph.D.,Engineer/Student,Monthly
123,29,Male,5.0,Marriage,No,Bachelor's Degree,Social Media Influencer,Daily
124,24,Male,5.6,Marriage,Maybe,Ph.D.,Engineer/Student,Daily
125,26,Female,6.0,Marriage,No,Master's Degree,Social Media Influencer,Daily
126,22,Female,5.8,Marriage,Maybe,High School,Teacher,Monthly
127,30,Female,6.0,Marriage,Maybe,Bachelor's Degree,Business Owner,Weekly
128,26,Female,4.9,Marriage,No,Ph.D.,Engineer/Student,Monthly
129,32,Male,5.2,Marriage,No,Master's Degree,Engineer/Student,Weekly
130,32,Male,5.0,Marriage,No,Ph.D.,Artist,Daily
131,29,Male,5.8,Casual Dating,Maybe,Bachelor's Degree,Artist,Weekly
132,25,Female,4.9,Casual Dating,Maybe,Ph.D.,Engineer/Student,Daily
133,26,Male,5.0,Marriage,No,Ph.D.,Teacher,Monthly
134,34,Female,4.8,Marriage,Maybe,Bachelor's Degree,Business Owner,Monthly
135,35,Male,5.1,Casual Dating,Maybe,Master's Degree,Doctor,Monthly
136,33,Female,4.8,Marriage,Yes,High School,Engineer/Student,Daily
137,25,Female,5.6,Marriage,Maybe,Master's Degree,Doctor,Weekly
138,22,Female,5.6,Marriage,Maybe,Master's Degree,Business Owner,Weekly
139,28,Female,5.4,Casual Dating,No,Bachelor's Degree,Social Media Influencer,Weekly
140,20,Male,5.0,Casual Dating,Maybe,Bachelor's Degree,Entrepreneur,Monthly
141,32,Male,5.9,Marriage,Yes,Ph.D.,Engineer/Student,Daily
142,27,Female,5.5,Marriage,Yes,Ph.D.,Artist,Daily
143,33,Male,6.0,Casual Dating,Yes,Bachelor's Degree,Engineer/Student,Weekly
144,32,Male,6.0,Marriage,No,Bachelor's Degree,Business Owner,Daily
145,32,Female,5.7,Marriage,Yes,Master's Degree,Artist,Monthly
146,24,Male,5.9,Marriage,Maybe,Master's Degree,Entrepreneur,Daily
147,34,Male,5.9,Casual Dating,No,Bachelor's Degree,Business Owner,Daily
148,21,Female,5.0,Casual Dating,No,Master's Degree,Social Media Influencer,Weekly
149,25,Female,4.9,Marriage,Yes,High School,Doctor,Daily
150,31,Female,5.5,Marriage,Yes,Ph.D.,Artist,Weekly
151,19,Female,6.0,Casual Dating,Maybe,Master's Degree,Teacher,Weekly
152,18,Male,5.0,Casual Dating,Maybe,Master's Degree,Engineer/Student,Weekly
153,25,Male,6.0,Marriage,No,Bachelor's Degree,Artist,Monthly
154,34,Male,5.4,Marriage,Maybe,Master's Degree,Social Media Influencer,Daily
155,33,Female,5.2,Casual Dating,Maybe,High School,Artist,Weekly
156,33,Female,4.8,Marriage,No,High School,Artist,Daily
157,25,Male,6.0,Marriage,Yes,Bachelor's Degree,Engineer/Student,Daily
158,21,Female,6.1,Marriage,Yes,High School,Business Owner,Monthly
159,21,Male,6.0,Casual Dating,Yes,High School,Entrepreneur,Daily
160,29,Female,6.1,Casual Dating,Yes,Bachelor's Degree,Doctor,Daily
161,27,Male,5.7,Casual Dating,Yes,Master's Degree,Business Owner,Monthly
162,32,Male,5.9,Marriage,Maybe,Master's Degree,Entrepreneur,Daily
163,20,Female,5.5,Casual Dating,Maybe,High School,Doctor,Monthly
164,27,Female,5.6,Casual Dating,Yes,Bachelor's Degree,Artist,Daily
165,30,Male,5.9,Marriage,Yes,High School,Entrepreneur,Monthly
166,23,Male,6.0,Marriage,Maybe,Ph.D.,Doctor,Weekly
167,28,Female,6.0,Marriage,Yes,Master's Degree,Artist,Daily
168,20,Female,5.2,Casual Dating,No,High School,Social Media Influencer,Daily
169,18,Female,6.0,Marriage,Maybe,Ph.D.,Engineer/Student,Daily
170,18,Female,5.0,Casual Dating,Yes,Master's Degree,Artist,Daily
171,24,Male,6.0,Marriage,Maybe,Ph.D.,Engineer/Student,Daily
172,22,Male,5.1,Casual Dating,Yes,Bachelor's Degree,Business Owner,Weekly
173,22,Female,5.6,Marriage,Yes,Master's Degree,Engineer/Student,Monthly
174,21,Male,5.8,Marriage,No,Master's Degree,Entrepreneur,Daily
175,25,Female,5.2,Casual Dating,Yes,Bachelor's Degree,Artist,Monthly
176,26,Female,5.5,Casual Dating,No,Master's Degree,Artist,Daily
177,26,Female,5.3,Marriage,Yes,High School,Doctor,Weekly
178,28,Female,5.6,Casual Dating,Maybe,High School,Social Media Influencer,Weekly
179,32,Male,4.9,Marriage,No,High School,Entrepreneur,Daily
180,31,Male,5.9,Casual Dating,Maybe,Bachelor's Degree,Teacher,Weekly
181,25,Male,6.0,Casual Dating,Maybe,Ph.D.,Entrepreneur,Monthly
182,30,Female,5.2,Marriage,Yes,High School,Engineer/Student,Daily
183,23,Female,5.3,Casual Dating,Yes,High School,Teacher,Daily
184,32,Female,5.4,Marriage,Yes,High School,Artist,Monthly
185,35,Male,5.6,Casual Dating,No,Bachelor's Degree,Engineer/Student,Daily
186,27,Female,5.2,Casual Dating,Maybe,Bachelor's Degree,Engineer/Student,Monthly
187,30,Male,5.6,Marriage,No,Ph.D.,Entrepreneur,Daily
188,29,Male,5.8,Casual Dating,No,Ph.D.,Engineer/Student,Monthly
189,34,Male,5.4,Marriage,No,Master's Degree,Social Media Influencer,Daily
190,26,Male,5.3,Casual Dating,No,Master's Degree,Engineer/Student,Monthly
191,21,Female,6.0,Marriage,No,Ph.D.,Artist,Weekly
192,29,Male,4.9,Casual Dating,No,Ph.D.,Engineer/Student,Monthly
193,24,Female,5.8,Marriage,No,Bachelor's Degree,Teacher,Daily
194,30,Female,5.2,Marriage,Maybe,Master's Degree,Entrepreneur,Weekly
195,31,Male,5.9,Casual Dating,Maybe,High School,Engineer/Student,Weekly
196,31,Male,5.9,Casual Dating,No,Master's Degree,Doctor,Monthly
197,23,Female,5.0,Marriage,Yes,Bachelor's Degree,Engineer/Student,Daily
198,31,Female,4.9,Casual Dating,No,High School,Business Owner,Monthly
199,26,Male,4.9,Casual Dating,Yes,Master's Degree,Engineer/Student,Daily
200,28,Female,5.9,Casual Dating,No,Bachelor's Degree,Entrepreneur,Monthly
201,33,Male,5.6,Casual Dating,Yes,Bachelor's Degree,Business Owner,Weekly
202,23,Female,5.4,Casual Dating,Maybe,Ph.D.,Business Owner,Daily
203,34,Female,5.2,Marriage,Maybe,Ph.D.,Doctor,Weekly
204,34,Female,5.9,Casual Dating,No,Master's Degree,Doctor,Daily
205,22,Female,5.8,Marriage,No,Master's Degree,Teacher,Daily
206,29,Male,5.5,Casual Dating,Maybe,Master's Degree,Teacher,Weekly
207,35,Female,5.6,Marriage,Yes,High School,Artist,Daily
208,34,Male,5.1,Casual Dating,Yes,Master's Degree,Social Media Influencer,Weekly
209,19,Female,5.0,Marriage,Maybe,Master's Degree,Engineer/Student,Monthly
210,24,Male,4.9,Marriage,No,Master's Degree,Doctor,Monthly
211,28,Male,5.0,Casual Dating,No,Bachelor's Degree,Entrepreneur,Monthly
212,25,Female,5.0,Marriage,Yes,Bachelor's Degree,Doctor,Monthly
213,26,Female,5.9,Marriage,Yes,High School,Engineer/Student,Weekly
214,32,Male,5.9,Casual Dating,Yes,Bachelor's Degree,Artist,Monthly
215,20,Male,5.2,Marriage,Maybe,Ph.D.,Engineer/Student,Weekly
216,32,Male,6.0,Marriage,Yes,High School,Entrepreneur,Weekly
217,22,Female,5.4,Casual Dating,No,Master's Degree,Engineer/Student,Weekly
218,29,Female,5.1,Casual Dating,Yes,Bachelor's Degree,Business Owner,Weekly
219,23,Female,4.8,Casual Dating,No,Ph.D.,Business Owner,Monthly
220,25,Female,5.4,Casual Dating,No,Bachelor's Degree,Entrepreneur,Daily
221,34,Male,5.4,Casual Dating,Maybe,Bachelor's Degree,Artist,Monthly
222,31,Female,5.5,Casual Dating,No,Ph.D.,Entrepreneur,Monthly
223,35,Female,5.4,Marriage,No,Ph.D.,Teacher,Weekly
224,24,Male,5.3,Casual Dating,No,Ph.D.,Engineer/Student,Daily
225,33,Male,5.7,Marriage,Yes,Ph.D.,Engineer/Student,Weekly
226,31,Male,5.7,Casual Dating,No,Bachelor's Degree,Artist,Weekly
227,33,Female,5.5,Marriage,No,High School,Doctor,Monthly
228,23,Female,6.1,Marriage,Yes,Master's Degree,Doctor,Weekly
229,23,Male,5.5,Marriage,No,Bachelor's Degree,Entrepreneur,Weekly
230,20,Male,5.0,Marriage,Maybe,Bachelor's Degree,Business Owner,Daily
231,35,Male,5.7,Casual Dating,Maybe,High School,Entrepreneur,Weekly
232,27,Female,5.4,Casual Dating,Yes,Bachelor's Degree,Business Owner,Weekly
233,34,Male,5.8,Casual Dating,Maybe,Master's Degree,Artist,Weekly
234,28,Male,5.8,Casual Dating,Yes,Ph.D.,Business Owner,Weekly
235,20,Female,5.6,Marriage,No,Master's Degree,Teacher,Monthly
236,24,Female,6.0,Marriage,Yes,Ph.D.,Engineer/Student,Weekly
237,31,Male,5.5,Casual Dating,Maybe,Bachelor's Degree,Doctor,Weekly
238,19,Male,5.8,Marriage,No,High School,Teacher,Monthly
239,31,Male,6.1,Marriage,Maybe,Bachelor's Degree,Doctor,Daily
240,27,Female,4.9,Casual Dating,Yes,Bachelor's Degree,Business Owner,Weekly
241,21,Female,5.2,Casual Dating,Yes,High School,Artist,Daily
242,35,Male,6.0,Marriage,No,Master's Degree,Engineer/Student,Weekly
243,27,Female,6.1,Casual Dating,Maybe,High School,Engineer/Student,Daily
244,31,Male,6.0,Marriage,Yes,High School,Business Owner,Monthly
245,23,Female,5.3,Casual Dating,Yes,Bachelor's Degree,Artist,Monthly
246,23,Female,4.8,Marriage,Maybe,High School,Doctor,Daily
247,27,Male,5.9,Marriage,Maybe,High School,Engineer/Student,Daily
248,23,Female,5.0,Marriage,Yes,Ph.D.,Entrepreneur,Monthly
249,34,Female,5.2,Casual Dating,Maybe,Ph.D.,Teacher,Daily
250,25,Female,5.7,Casual Dating,Maybe,High School,Engineer/Student,Weekly
251,21,Male,6.1,Marriage,No,Bachelor's Degree,Business Owner,Daily
252,34,Male,5.1,Marriage,No,Master's Degree,Artist,Daily
